image_id,split,noise_level,scene_id,gt_id,iso,roi_x,roi_y,roi_w,roi_h,noise_measure,mean_luminance,notes
dev_01_l,development,light,scene01,scene01_gt,,103,193,28,50,0.4854516386985779,160.01714285714286,real-world capture; ISO metadata unavailable
dev_01_m,development,medium,scene01,scene01_gt,,103,193,28,50,0.6971775889396667,156.20785714285714,real-world capture; ISO metadata unavailable
dev_01_h,development,heavy,scene01,scene01_gt,,103,193,28,50,1.240633249282837,138.03428571428572,real-world capture; ISO metadata unavailable
dev_02_l,development,light,scene02,scene02_gt,,21,189,92,51,0.4537424147129059,163.06202046035807,real-world capture; ISO metadata unavailable
dev_02_m,development,medium,scene02,scene02_gt,,21,189,92,51,0.6432909965515137,161.20055413469737,real-world capture; ISO metadata unavailable
dev_02_h,development,heavy,scene02,scene02_gt,,21,189,92,51,1.248292326927185,135.36700767263426,real-world capture; ISO metadata unavailable
dev_03_l,development,light,scene03,scene03_gt,,19,166,55,57,0.6282534599304199,163.88708133971292,real-world capture; ISO metadata unavailable
dev_03_m,development,medium,scene03,scene03_gt,,19,166,55,57,0.7480835914611816,155.5792663476874,real-world capture; ISO metadata unavailable
dev_03_h,development,heavy,scene03,scene03_gt,,19,166,55,57,1.1058779954910278,131.7470494417863,real-world capture; ISO metadata unavailable
dev_04_l,development,light,scene04,scene04_gt,,10,196,45,43,0.5125640630722046,162.79948320413436,real-world capture; ISO metadata unavailable
dev_04_m,development,medium,scene04,scene04_gt,,10,196,45,43,0.6348339915275574,154.9359173126615,real-world capture; ISO metadata unavailable
dev_04_h,development,heavy,scene04,scene04_gt,,10,196,45,43,1.2520108222961426,129.9860465116279,real-world capture; ISO metadata unavailable
dev_05_l,development,light,scene05,scene05_gt,,11,186,24,45,0.747448742389679,160.67222222222222,real-world capture; ISO metadata unavailable
dev_05_m,development,medium,scene05,scene05_gt,,11,186,24,45,1.3240801095962524,126.59814814814816,real-world capture; ISO metadata unavailable
dev_05_h,development,heavy,scene05,scene05_gt,,11,186,24,45,0.560165286064148,163.7861111111111,real-world capture; ISO metadata unavailable
eval_06_l,evaluation,light,scene06,scene06_gt,,13,169,24,53,0.5739225149154663,160.000786163522,real-world capture; ISO metadata unavailable
eval_06_m,evaluation,medium,scene06,scene06_gt,,13,169,24,53,0.6833529472351074,161.16352201257862,real-world capture; ISO metadata unavailable
eval_06_h,evaluation,heavy,scene06,scene06_gt,,13,169,24,53,1.521286129951477,139.1816037735849,real-world capture; ISO metadata unavailable
eval_07_l,evaluation,light,scene07,scene07_gt,,13,190,22,34,0.7080199718475342,163.4639037433155,real-world capture; ISO metadata unavailable
eval_07_m,evaluation,medium,scene07,scene07_gt,,13,190,22,34,0.8588873147964478,159.12032085561498,real-world capture; ISO metadata unavailable
eval_07_h,evaluation,heavy,scene07,scene07_gt,,13,190,22,34,1.5774829387664795,135.8181818181818,real-world capture; ISO metadata unavailable
eval_08_l,evaluation,light,scene08,scene08_gt,,70,213,54,35,0.44645586609840393,169.91904761904763,real-world capture; ISO metadata unavailable
eval_08_m,evaluation,medium,scene08,scene08_gt,,70,213,54,35,0.6006295084953308,162.56613756613757,real-world capture; ISO metadata unavailable
eval_08_h,evaluation,heavy,scene08,scene08_gt,,70,213,54,35,1.243388056755066,133.87671957671958,real-world capture; ISO metadata unavailable
eval_09_l,evaluation,light,scene09,scene09_gt,,40,219,37,27,0.4268726706504822,172.23223223223223,real-world capture; ISO metadata unavailable
eval_09_m,evaluation,medium,scene09,scene09_gt,,40,219,37,27,0.6341497898101807,165.43343343343344,real-world capture; ISO metadata unavailable
eval_09_h,evaluation,heavy,scene09,scene09_gt,,40,219,37,27,1.1314729452133179,144.05605605605606,real-world capture; ISO metadata unavailable
eval_10_l,evaluation,light,scene10,scene10_gt,,42,211,26,31,0.6201686859130859,164.2605459057072,real-world capture; ISO metadata unavailable
eval_10_m,evaluation,medium,scene10,scene10_gt,,42,211,26,31,0.8281571269035339,159.55831265508684,real-world capture; ISO metadata unavailable
eval_10_h,evaluation,heavy,scene10,scene10_gt,,42,211,26,31,1.3235207796096802,143.45533498759306,real-world capture; ISO metadata unavailable
