d,sigma_color,sigma_space,mean_strict_f1
3,25.0,25.0,0.15355574870244357
3,25.0,50.0,0.15571790353062936
3,25.0,75.0,0.15414506093211675
3,50.0,25.0,0.15536576846998953
3,50.0,50.0,0.15580030619043864
3,50.0,75.0,0.1555627623844585
3,75.0,25.0,0.15557657279719242
3,75.0,50.0,0.15486314088725586
3,75.0,75.0,0.15562483427069235
3,100.0,25.0,0.1551400077194288
3,100.0,50.0,0.15491913447229694
3,100.0,75.0,0.15471662050724394
5,25.0,25.0,0.15963581173122215
5,25.0,50.0,0.15964284348087723
5,25.0,75.0,0.15964284348087723
5,50.0,25.0,0.16025671004612946
5,50.0,50.0,0.16019173123706315
5,50.0,75.0,0.16019173123706315
5,75.0,25.0,0.16193147900649665
5,75.0,50.0,0.16247996109855156
5,75.0,75.0,0.16247996109855156
5,100.0,25.0,0.16202175289992363
5,100.0,50.0,0.16268655005139712
5,100.0,75.0,0.16270250389920515
7,25.0,25.0,0.15764534006057743
7,25.0,50.0,0.15768666456299973
7,25.0,75.0,0.1578463273513344
7,50.0,25.0,0.16223373004216238
7,50.0,50.0,0.1620776901502297
7,50.0,75.0,0.16193947409417317
7,75.0,25.0,0.16581607193433473
7,75.0,50.0,0.16337851206825368
7,75.0,75.0,0.1632408519098215
7,100.0,25.0,0.16388537950862916
7,100.0,50.0,0.16413038674192332
7,100.0,75.0,0.1641232911344427
