d,sigma_color,sigma_space,mean_strict_f1
3,25.0,25.0,0.18011404621483895
3,25.0,50.0,0.18073461492830348
3,25.0,75.0,0.18122135533271852
3,50.0,25.0,0.17990256795013607
3,50.0,50.0,0.18013704402340874
3,50.0,75.0,0.17978814523470063
3,75.0,25.0,0.1803784837556661
3,75.0,50.0,0.18052394297519198
3,75.0,75.0,0.18032194222246592
3,100.0,25.0,0.18076856590729182
3,100.0,50.0,0.18077181294215913
3,100.0,75.0,0.1808788169739399
5,25.0,25.0,0.17625566068734047
5,25.0,50.0,0.17638310967008963
5,25.0,75.0,0.17638860673842996
5,50.0,25.0,0.17896027435550368
5,50.0,50.0,0.1789327309077749
5,50.0,75.0,0.1789327309077749
5,75.0,25.0,0.18049161644606374
5,75.0,50.0,0.18014261105951485
5,75.0,75.0,0.18013434003521372
5,100.0,25.0,0.18039544909147262
5,100.0,50.0,0.18039802554323311
5,100.0,75.0,0.18036834545092523
7,25.0,25.0,0.17439937334283176
7,25.0,50.0,0.17441988775271794
7,25.0,75.0,0.17441988775271794
7,50.0,25.0,0.17893021574501464
7,50.0,50.0,0.17886476401261261
7,50.0,75.0,0.17876447995874437
7,75.0,25.0,0.17659822797577687
7,75.0,50.0,0.17685742177587566
7,75.0,75.0,0.17685742177587566
7,100.0,25.0,0.17471926885620162
7,100.0,50.0,0.17408938750512465
7,100.0,75.0,0.17426505561321037
