d,sigma_color,sigma_space,mean_strict_f1
3,25.0,25.0,0.15133168524063492
3,25.0,50.0,0.15129041734823642
3,25.0,75.0,0.15125912781280418
3,50.0,25.0,0.1517475890648801
3,50.0,50.0,0.15199280517550587
3,50.0,75.0,0.15143221146145172
3,75.0,25.0,0.1529492186827254
3,75.0,50.0,0.15268523570434397
3,75.0,75.0,0.1529492186827254
3,100.0,25.0,0.15226174893389333
3,100.0,50.0,0.15234998256482649
3,100.0,75.0,0.1522295785452096
5,25.0,25.0,0.16519159647972756
5,25.0,50.0,0.16519159647972756
5,25.0,75.0,0.16519159647972756
5,50.0,25.0,0.16481651659054816
5,50.0,50.0,0.1647807265910717
5,50.0,75.0,0.1647807265910717
5,75.0,25.0,0.16467050672586325
5,75.0,50.0,0.16466793008545982
5,75.0,75.0,0.16466793008545982
5,100.0,25.0,0.16734751439037562
5,100.0,50.0,0.16734751439037562
5,100.0,75.0,0.1673241774991124
7,25.0,25.0,0.16543007536898427
7,25.0,50.0,0.16581182471800862
7,25.0,75.0,0.16588011292023147
7,50.0,25.0,0.19108424391224363
7,50.0,50.0,0.1910430671196112
7,50.0,75.0,0.19106811071808297
7,75.0,25.0,0.19598907451223999
7,75.0,50.0,0.19604200589067636
7,75.0,75.0,0.19569403083950587
7,100.0,25.0,0.1907960362746598
7,100.0,50.0,0.19111536297786838
7,100.0,75.0,0.19111536297786838
