scene_id,injected_sigma,baseline_strict_f1,proposed_strict_f1
scene06,0,0.11971099568093568,0.09315694493443112
scene07,0,0.24153426224485836,0.30139040768618264
scene08,0,0.2461537967418161,0.30277437731058776
scene09,0,0.2752634350451646,0.29525713343374227
scene10,0,0.17002385282025198,0.14686463728489596
scene06,10,0.0661523014714999,0.0732292525557611
scene07,10,0.08375515499694322,0.27603242581865617
scene08,10,0.04932734093910782,0.32098760484500083
scene09,10,0.04548000885331597,0.29290916359392477
scene10,10,0.06310910741364001,0.1315582913462808
scene06,25,0.06427406929238086,0.11135526190362993
scene07,25,0.09462931333896067,0.2112570802758829
scene08,25,0.05416635611473368,0.2334037584121599
scene09,25,0.05299168942722885,0.23856853886364757
scene10,25,0.06294255094339593,0.14726110715740268
scene06,50,0.0640614831668225,0.06508328797775413
scene07,50,0.08999117069517147,0.09097481258644749
scene08,50,0.05377200032068563,0.053196994345826004
scene09,50,0.05291080960336681,0.05075527415477091
scene10,50,0.05776069175226089,0.055864251708756224
scene06,75,0.06202764701596324,0.06178792036264907
scene07,75,0.0857103473937457,0.08783275727692649
scene08,75,0.05035655890511504,0.051895909418589445
scene09,75,0.05208033207856668,0.05294032258852934
scene10,75,0.05790419912502142,0.05793377602031884
scene06,100,0.06272616028841946,0.062274925993095906
scene07,100,0.08599657282160986,0.08769560886273098
scene08,100,0.0520268684436635,0.0520435257235941
scene09,100,0.05080001644385855,0.052205079180415705
scene10,100,0.05413165372969637,0.0545909113773017
scene06,125,0.0662053062038033,0.06422797227597442
scene07,125,0.08595829902694108,0.08349118443113081
scene08,125,0.0469076879828113,0.04891733201501592
scene09,125,0.05148542177946107,0.052964869690054185
scene10,125,0.06086582402633675,0.060308641252356666
scene06,150,0.0626768376400925,0.06184544133077305
scene07,150,0.08574179098024719,0.08655288097070249
scene08,150,0.04937727711011267,0.047770228920248715
scene09,150,0.048632206490210876,0.05127467355032619
scene10,150,0.0566010490452877,0.057077284151787665
